1.00,0.00,-0.04,-0.04,-0.05,0.38,0.43,0.32,0.38,0.43,0.33,0.04,-0.04,-0.06,0.00,-0.11,0.48
0.00,1.00,-0.48,-0.48,-0.47,0.67,0.63,0.73,0.67,0.63,0.73,0.50,-0.52,-0.50,-0.51,0.41,0.54
-0.04,-0.48,1.00,1.00,1.00,-0.43,-0.46,-0.42,-0.42,-0.44,-0.42,-0.99,0.99,0.99,0.99,-0.97,-0.64
-0.04,-0.48,1.00,1.00,1.00,-0.43,-0.45,-0.42,-0.41,-0.43,-0.41,-0.99,0.99,0.99,0.99,-0.98,-0.63
-0.05,-0.47,1.00,1.00,1.00,-0.44,-0.47,-0.43,-0.43,-0.45,-0.43,-0.99,0.99,0.98,0.99,-0.97,-0.65
0.38,0.67,-0.43,-0.43,-0.44,1.00,0.99,0.99,1.00,0.99,0.99,0.47,-0.49,-0.48,-0.45,0.25,0.86
0.43,0.63,-0.46,-0.45,-0.47,0.99,1.00,0.97,0.99,1.00,0.97,0.50,-0.51,-0.51,-0.48,0.28,0.89
0.32,0.73,-0.42,-0.42,-0.43,0.99,0.97,1.00,0.99,0.97,1.00,0.46,-0.48,-0.48,-0.45,0.25,0.83
0.38,0.67,-0.42,-0.41,-0.43,1.00,0.99,0.99,1.00,1.00,0.99,0.46,-0.47,-0.47,-0.44,0.24,0.86
0.43,0.63,-0.44,-0.43,-0.45,0.99,1.00,0.97,1.00,1.00,0.97,0.47,-0.49,-0.49,-0.46,0.26,0.88
0.33,0.73,-0.42,-0.41,-0.43,0.99,0.97,1.00,0.99,0.97,1.00,0.46,-0.47,-0.47,-0.44,0.24,0.83
0.04,0.50,-0.99,-0.99,-0.99,0.47,0.50,0.46,0.46,0.47,0.46,1.00,-0.99,-0.98,-0.99,0.96,0.66
-0.04,-0.52,0.99,0.99,0.99,-0.49,-0.51,-0.48,-0.47,-0.49,-0.47,-0.99,1.00,0.99,0.99,-0.96,-0.67
-0.06,-0.50,0.99,0.99,0.98,-0.48,-0.51,-0.48,-0.47,-0.49,-0.47,-0.98,0.99,1.00,0.98,-0.95,-0.66
0.00,-0.51,0.99,0.99,0.99,-0.45,-0.48,-0.45,-0.44,-0.46,-0.44,-0.99,0.99,0.98,1.00,-0.96,-0.65
-0.11,0.41,-0.97,-0.98,-0.97,0.25,0.28,0.25,0.24,0.26,0.24,0.96,-0.96,-0.95,-0.96,1.00,0.45
0.48,0.54,-0.64,-0.63,-0.65,0.86,0.89,0.83,0.86,0.88,0.83,0.66,-0.67,-0.66,-0.65,0.45,1.00
