size_tabu;nb_iteration;avg;min;max;avg_iteration;min_iteration;max_iteration;avg_relocate (%);avg_2_opt (%)
0;0,00;982,523622233867;825,835109319876;1057,99291361216;0;0;0;0;0
0;40,00;411,095271623367;394,294582098438;434,581491001449;31;24;38;100;0
0;160,00;405,581666562485;390,474005877231;414,058182635698;28,75;24;32;98,2608695652174;1,73913043478261
0;640,00;422,09989020727;395,660898774981;449,325280747398;27;23;31;99,0740740740741;0,925925925925926
4;0,00;969,881806411495;955,11867682465;984,238708296045;0;0;0;0;0
4;40,00;415,236583414464;395,317716526927;427,893997757072;40;40;40;98,125;1,875
4;160,00;434,423831986452;388,62432702415;474,587657418168;49;35;81;94,8979591836735;5,10204081632653
4;640,00;390,522228800636;358,372302568262;412,394815084322;43,75;38;46;97,7142857142857;2,28571428571429
16;0,00;1050,62086172048;968,638784556468;1140,62330415194;0;0;0;0;0
16;40,00;417,994413171493;362,829049360572;495,291350759047;40;40;40;95,625;4,375
16;160,00;397,10383602981;358,372302568262;434,820100179826;160;160;160;90,46875;9,53125
16;640,00;373,172103654473;358,372302568262;394,294582098438;307,5;64;640;85,9349593495935;14,0650406504065
64;0,00;942,587761562913;912,473598600672;977,792096724839;0;0;0;0;0
64;40,00;408,356732482701;394,294582098438;434,581491001449;40;40;40;96,875;3,125
64;160,00;394,572199720541;369,13820335977;454,195626577205;160;160;160;76,5625;23,4375
