size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration,avg_relocate (%),avg_2_opt (%)
0,0,1015.7176765055253,936.6492006451535,1120.1749582096286,0.0,0,0,0,0
0,40,404.85755342161343,358.37230256826217,439.448494848016,27.5,22,37,99.0909,0.9091
0,160,416.4089565444218,390.4389156200663,440.6450825701094,25.25,24,26,96.0396,3.9604
0,640,410.51630471157125,395.66089877498064,432.6171558906809,28.75,27,32,99.1304,0.8696
4,0,1005.6884815584551,949.6386018505466,1031.6769093054363,0.0,0,0,0,0
4,40,404.5217290552055,358.37230256826217,440.89375569726167,40.0,40,40,94.375,5.625
4,160,404.8515672986149,361.1335001609543,434.581491001449,55.75,41,70,98.6547,1.3453
4,640,429.5499780497174,398.53386429790737,444.42722018756245,45.25,41,51,98.3425,1.6575
16,0,1029.4977866659597,980.2862439933635,1067.2670841622744,0.0,0,0,0,0
16,40,406.1373250081656,394.29458209843824,431.6384486602519,40.0,40,40,97.5,2.5
16,160,401.867651194486,372.7849797368415,439.5760322144479,160.0,160,160,90.1562,9.8438
16,640,376.0166359032834,358.37230256826217,398.63268848709276,368.25,62,640,74.2702,25.7298
64,0,1004.2072752766071,943.6567207786458,1086.160989449529,0.0,0,0,0,0
64,40,416.6624900288557,398.89782064965016,443.8635627972223,40.0,40,40,96.25,3.75
64,160,403.2611826360856,389.74416451454647,419.8479850552201,160.0,160,160,84.375,15.625
64,640,390.0204336752173,358.37230256826217,412.938838783687,415.0,178,640,72.8313,27.1687
